Ring, Position, Color, Value
8 21 SpringGreen 6.000000
8 22 SpringGreen 7.000000
8 23 SpringGreen 6.000000
8 24 SpringGreen 6.000000
8 25 SpringGreen 5.000000
8 26 SpringGreen 5.000000
8 27 SpringGreen 6.000000
8 28 SpringGreen 6.000000
8 29 SpringGreen 7.000000
8 30 SpringGreen 6.000000
8 31 SpringGreen 5.000000
8 32 SpringGreen 5.000000
8 33 SpringGreen 5.000000
8 34 SpringGreen 6.000000
8 35 SpringGreen 6.000000
8 36 SpringGreen 7.000000
8 37 SpringGreen 6.000000
8 38 SpringGreen 6.000000
8 39 SpringGreen 5.000000
8 40 SpringGreen 5.000000
8 41 SpringGreen 6.000000
8 42 SpringGreen 6.000000
9 4 SpringGreen 7.000000
9 5 SpringGreen 6.000000
9 6 SpringGreen 7.000000
9 7 SpringGreen 7.000000
9 11 SpringGreen 7.000000
9 12 SpringGreen 7.000000
9 13 SpringGreen 6.000000
9 14 SpringGreen 7.000000
9 15 SpringGreen 7.000000
9 20 SpringGreen 7.000000
9 21 SpringGreen 7.000000
9 22 SpringGreen 7.000000
9 23 SpringGreen 7.000000
9 27 SpringGreen 7.000000
9 28 SpringGreen 7.000000
9 29 SpringGreen 6.000000
9 30 SpringGreen 7.000000
9 31 SpringGreen 7.000000
9 36 SpringGreen 7.000000
9 37 SpringGreen 6.000000
9 38 SpringGreen 7.000000
9 39 SpringGreen 7.000000
9 43 SpringGreen 7.000000
9 44 SpringGreen 7.000000
9 45 SpringGreen 6.000000
9 46 SpringGreen 7.000000
9 47 SpringGreen 7.000000
